Date,Open,High,Low,Close,Adj Close,Volume
2015-10-26,62.049999,62.459999,61.700001,61.770000,50.356525,1922100
2015-10-27,61.549999,62.480000,61.500000,62.220001,50.723373,2306300
2015-10-28,62.299999,63.099998,62.139999,63.029999,51.383717,2378700
2015-10-29,62.840000,63.130001,62.290001,63.040001,51.391853,1668900
2015-10-30,62.959999,63.000000,61.400002,61.490002,50.128258,3801400
2015-11-02,61.650002,62.029999,61.439999,61.849998,50.421745,1662700
2015-11-03,61.810001,62.060001,61.279999,61.910000,50.470657,1467600
2015-11-04,61.959999,62.320000,61.430000,61.610001,50.226089,1724100
2015-11-05,61.820000,62.130001,61.410000,61.509998,50.144562,1534900
2015-11-06,61.669998,61.900002,61.209999,61.660000,50.266853,1315200
2015-11-09,61.740002,61.750000,60.430000,60.990002,49.720654,1699000
2015-11-10,60.700001,60.799999,60.430000,60.740002,49.516842,2361400
2015-11-11,60.790001,61.040001,60.520000,60.900002,49.647274,955700
2015-11-12,60.560001,60.689999,59.750000,59.880001,48.815750,2090900
2015-11-13,59.750000,59.880001,58.790001,59.000000,48.098347,1925700
2015-11-16,58.970001,60.110001,58.860001,60.110001,49.003242,1428000
2015-11-17,60.340000,60.889999,60.139999,60.540001,49.353794,1312300
2015-11-18,60.750000,61.090000,60.560001,60.669998,49.459774,1692900
2015-11-19,60.720001,60.990002,60.520000,60.779999,49.549446,1596300
2015-11-20,61.099998,61.160000,60.500000,60.630001,49.427162,1763400
2015-11-23,60.630001,60.980000,60.110001,60.180000,49.060307,1594900
2015-11-24,60.000000,60.630001,59.770000,60.310001,49.166298,2164500
2015-11-25,60.560001,60.680000,60.049999,60.119999,49.011395,1555700
2015-11-26,60.139999,60.880001,60.130001,60.590000,49.394566,558300
2015-11-27,60.549999,60.849998,60.419998,60.830002,49.590214,1000300
2015-11-30,60.799999,61.060001,60.680000,60.889999,49.639126,2130300
2015-12-01,60.509998,61.330002,60.139999,60.830002,49.590214,2859400
2015-12-02,61.090000,61.090000,59.720001,59.869999,48.807590,2311400
2015-12-03,60.200001,60.200001,59.099998,59.189999,48.253239,2068400
2015-12-04,59.330002,59.490002,58.810001,59.439999,48.457050,1803200
2015-12-07,59.279999,59.360001,57.680000,57.990002,47.274971,2875200
2015-12-08,57.639999,57.889999,57.290001,57.459999,46.842903,2269700
2015-12-09,57.259998,58.439999,57.250000,57.520000,46.891815,1733300
2015-12-10,57.500000,58.090000,57.090000,57.270000,46.688007,1987500
2015-12-11,57.000000,57.029999,55.950001,56.080002,45.717896,3054700
2015-12-14,56.099998,56.340000,55.270000,55.660000,45.375492,2880300
2015-12-15,56.099998,56.669998,56.009998,56.549999,46.101048,1806000
2015-12-16,56.650002,57.259998,56.380001,57.169998,46.606483,2146800
2015-12-17,57.389999,57.480000,57.040001,57.150002,46.590176,2265900
2015-12-18,56.680000,57.060001,56.099998,56.139999,45.766804,8793400
2015-12-21,56.700001,56.930000,56.080002,56.290001,45.889084,1878300
2015-12-22,56.369999,56.570000,55.560001,56.389999,45.970604,1680000
2015-12-23,56.599998,57.490002,56.400002,57.480000,46.859200,1925400
2015-12-24,57.439999,58.200001,57.360001,57.950001,47.242359,984100
2015-12-29,58.180000,58.439999,57.880001,58.169998,47.421707,1345800
2015-12-30,58.290001,58.290001,57.520000,57.700001,47.038551,1382500
2015-12-31,56.540001,56.700001,55.910000,55.970001,46.188564,1807000
2016-01-04,55.250000,55.689999,54.750000,55.540001,45.833706,2979400
2016-01-05,55.610001,56.279999,55.310001,56.130001,46.320595,2374500
2016-01-06,55.669998,55.689999,55.139999,55.160000,45.520119,2446800
2016-01-07,54.500000,54.779999,54.020000,54.310001,44.818657,2530800
2016-01-08,55.169998,55.169998,54.500000,54.560001,45.024971,2003500
2016-01-11,54.830002,54.869999,53.820000,54.189999,44.719627,2864700
2016-01-12,54.450001,54.750000,53.360001,54.049999,44.604107,2733800
2016-01-13,54.200001,54.310001,52.970001,53.000000,43.737598,2603900
2016-01-14,53.130001,53.730000,52.799999,53.630001,44.257500,3178300
2016-01-15,52.549999,52.970001,52.080002,52.270000,43.135170,5863600
2016-01-18,52.070000,52.680000,52.070000,52.380001,43.225952,1063400
2016-01-19,53.320000,53.480000,52.680000,53.270000,43.960411,3586300
2016-01-20,52.680000,52.779999,51.169998,51.869999,42.805077,3880300
2016-01-21,52.009998,53.029999,51.790001,52.740002,43.523045,2839100
2016-01-22,53.860001,54.480000,53.689999,54.470001,44.950703,3982500
2016-01-25,54.520000,54.529999,52.849998,52.919998,43.671585,1707100
2016-01-26,53.080002,53.410000,52.849998,53.259998,43.952160,2482900
2016-01-27,53.150002,54.900002,53.119999,54.299999,44.810406,2928600
2016-01-28,54.950001,56.529999,54.570000,56.400002,46.543415,3888000
2016-01-29,56.770000,57.389999,55.740002,57.389999,47.360397,3878800
2016-02-01,56.860001,56.930000,56.060001,56.340000,46.493900,1557400
2016-02-02,55.799999,55.840000,55.090000,55.570000,45.858459,2007600
2016-02-03,56.000000,56.150002,54.919998,55.779999,46.031765,2572500
2016-02-04,55.900002,57.130001,55.790001,56.860001,46.923023,2703100
2016-02-05,56.860001,57.029999,56.310001,56.799999,46.873512,1687300
2016-02-08,56.299999,56.400002,55.160000,55.680000,45.949238,2364600
2016-02-09,55.000000,55.040001,53.169998,54.169998,44.703125,3573400
2016-02-10,54.880001,54.950001,52.570000,52.660000,43.457020,3069100
2016-02-11,52.000000,52.270000,51.570000,52.060001,42.961876,3693700
2016-02-12,52.860001,54.040001,52.750000,54.020000,44.579342,2438400
2016-02-16,54.930000,55.189999,53.939999,55.070000,45.445839,2246400
2016-02-17,55.639999,56.279999,55.439999,56.230000,46.403118,2253500
2016-02-18,56.590000,56.720001,55.720001,56.330002,46.485645,2130900
2016-02-19,55.770000,56.009998,55.360001,56.009998,46.221573,2277900
2016-02-22,56.509998,56.740002,55.480000,55.480000,45.784191,2651200
2016-02-23,56.509998,56.509998,54.590000,54.790001,45.214775,1977800
2016-02-24,54.110001,54.110001,51.910000,53.570000,44.207981,3447700
2016-02-25,53.700001,53.799999,52.889999,53.529999,44.174976,1904800
2016-02-26,54.020000,54.490002,53.730000,53.980000,44.546329,1557900
2016-02-29,54.279999,54.759998,53.740002,54.759998,45.190022,2427500
2016-03-01,56.000000,57.930000,55.959999,57.930000,47.806026,4161100
2016-03-02,57.720001,58.070000,56.830002,57.750000,47.657482,2709800
2016-03-03,58.000000,58.720001,57.770000,58.619999,48.375435,1959900
2016-03-04,58.790001,59.720001,58.509998,59.500000,49.101650,3017000
2016-03-07,59.500000,60.730000,59.400002,60.529999,49.951641,3175900
2016-03-08,60.310001,61.490002,59.820000,61.230000,50.529301,3417300
2016-03-09,61.349998,62.389999,61.349998,61.810001,51.007950,3095900
2016-03-10,62.189999,62.450001,61.080002,61.560001,50.801640,2535100
2016-03-11,62.110001,62.389999,61.770000,62.270000,51.387554,2141100
2016-03-14,62.090000,62.490002,61.939999,62.049999,51.205997,2082600
2016-03-15,61.750000,62.360001,61.740002,62.360001,51.461830,2483800
2016-03-16,62.349998,62.869999,61.869999,62.430000,51.519596,1713700
2016-03-17,62.610001,63.980000,62.470001,63.900002,52.732689,3222800
2016-03-18,63.669998,63.970001,63.259998,63.570000,52.460361,6143100
2016-03-21,63.750000,64.099998,63.029999,63.660000,52.534637,1665600
2016-03-22,63.349998,63.840000,63.160000,63.400002,52.320072,1615000
2016-03-23,63.810001,63.810001,62.959999,63.270000,52.212791,1660000
2016-03-24,62.700001,62.700001,62.070000,62.419998,51.511337,2444600
2016-03-28,62.549999,63.090000,62.090000,62.910000,51.915703,2472900
2016-03-29,62.689999,63.389999,62.099998,63.220001,52.171528,2138700
2016-03-30,63.500000,64.129997,63.240002,63.549999,52.443863,2036000
2016-03-31,63.599998,63.939999,63.310001,63.470001,52.377834,2525200
2016-04-01,62.160000,62.730000,61.639999,62.720001,52.352802,1798200
2016-04-04,62.720001,62.889999,62.200001,62.480000,52.152477,1566400
2016-04-05,61.849998,62.119999,61.570000,61.980000,51.735115,1559300
2016-04-06,61.880001,62.099998,61.419998,62.029999,51.776844,1608100
2016-04-07,61.669998,61.889999,60.950001,61.310001,51.175861,1613600
2016-04-08,61.619999,62.230000,61.560001,61.849998,51.626598,1589900
2016-04-11,61.849998,62.230000,61.480000,61.540001,51.367851,1647900
2016-04-12,61.650002,62.980000,61.630001,62.540001,52.202560,2173700
2016-04-13,63.070000,63.790001,63.049999,63.650002,53.129078,2377000
2016-04-14,63.790001,64.120003,63.549999,63.880001,53.321060,1536900
2016-04-15,63.650002,63.900002,63.330002,63.639999,53.120724,1536400
2016-04-18,63.049999,63.750000,63.020000,63.660000,53.137424,2254900
2016-04-19,63.750000,64.500000,63.639999,64.330002,53.696674,2738700
2016-04-20,64.449997,65.440002,64.300003,65.230003,54.447929,3357200
2016-04-21,65.180000,65.300003,64.839996,65.040001,54.289330,2718400
2016-04-22,65.150002,65.540001,65.080002,65.290001,54.497993,1456500
2016-04-25,65.010002,65.199997,64.589996,64.930000,54.197510,1050900
2016-04-26,65.099998,65.349998,65.000000,65.239998,54.456257,1402600
2016-04-27,65.250000,65.730003,65.050003,65.430000,54.614857,1708900
2016-04-28,65.139999,65.430000,64.639999,65.239998,54.456257,2096400
2016-04-29,64.940002,65.970001,64.930000,65.800003,54.923695,2122500
2016-05-02,65.739998,65.919998,65.029999,65.169998,54.397835,1277300
2016-05-03,64.190002,64.300003,62.709999,63.430000,52.945446,3374700
2016-05-04,63.000000,63.270000,62.080002,62.610001,52.260986,2732100
2016-05-05,62.610001,62.740002,61.820000,61.900002,51.668346,2559600
2016-05-06,61.700001,62.279999,61.200001,62.130001,51.860321,2147200
2016-05-09,61.750000,62.090000,61.529999,61.689999,51.493050,1793000
2016-05-10,62.049999,62.900002,61.980000,62.320000,52.018921,1903000
2016-05-11,62.290001,63.240002,62.099998,62.790001,52.411232,2247200
2016-05-12,63.220001,63.419998,62.250000,62.970001,52.561478,1468300
2016-05-13,62.599998,63.119999,62.340000,62.619999,52.269325,1724400
2016-05-16,62.590000,63.330002,62.590000,62.930000,52.528088,1552200
2016-05-17,62.919998,63.090000,62.520000,62.799999,52.419575,1692800
2016-05-18,62.630001,63.369999,62.580002,63.200001,52.753452,2364400
2016-05-19,63.009998,63.150002,62.110001,62.730000,52.361141,5994100
2016-05-20,62.930000,63.610001,62.930000,63.099998,52.669983,2057200
2016-05-24,63.240002,64.330002,63.240002,63.759998,53.220894,2471400
2016-05-25,64.089996,64.830002,63.980000,64.589996,53.913696,2104300
2016-05-26,64.879997,65.309998,64.389999,64.510002,53.846928,2523500
2016-05-27,64.459999,65.070000,64.459999,65.000000,54.255928,2686900
2016-05-30,65.250000,65.480003,64.739998,64.949997,54.214184,1782100
2016-05-31,64.650002,64.900002,64.099998,64.139999,53.538078,6650300
2016-06-01,63.830002,65.029999,63.400002,64.889999,54.164112,2248100
2016-06-02,64.699997,65.610001,64.410004,65.449997,54.631550,1923300
2016-06-03,65.239998,65.610001,64.750000,65.470001,54.648243,1530600
2016-06-06,65.639999,66.000000,65.599998,65.860001,54.973770,1787400
2016-06-07,66.019997,67.199997,66.019997,67.070000,55.983772,3157200
2016-06-08,67.199997,67.400002,66.610001,66.900002,55.841877,2274800
2016-06-09,66.620003,66.779999,66.010002,66.320000,55.357746,2245100
2016-06-10,65.779999,65.779999,64.949997,65.250000,54.464600,1785700
2016-06-13,64.900002,65.230003,64.669998,64.970001,54.230900,1842100
2016-06-14,64.830002,64.980003,64.379997,64.550003,53.880314,1958800
2016-06-15,64.639999,64.940002,64.230003,64.290001,53.663296,1635500
2016-06-16,64.000000,64.440002,63.520000,64.239998,53.621544,1657400
2016-06-17,64.250000,64.879997,64.199997,64.480003,53.821880,8359900
2016-06-20,65.500000,65.660004,64.750000,65.050003,54.297672,1770000
2016-06-21,65.389999,65.389999,64.779999,65.150002,54.381138,1756000
2016-06-22,65.279999,65.500000,64.750000,64.910004,54.180809,1507900
2016-06-23,65.349998,65.970001,65.269997,65.550003,54.715023,2047700
2016-06-24,63.000000,64.370003,62.750000,64.029999,53.446262,2884100
2016-06-27,63.419998,63.419998,62.360001,62.799999,52.419575,2742100
2016-06-28,63.459999,63.900002,63.270000,63.770000,53.229240,2122500
2016-06-29,64.440002,64.739998,64.129997,64.510002,53.846928,2457000
2016-06-30,63.810001,63.930000,63.080002,63.310001,53.441746,3118600
2016-07-04,63.849998,63.900002,63.400002,63.689999,53.762512,912500
2016-07-05,63.529999,63.930000,63.119999,63.290001,53.424866,1575300
2016-07-06,63.110001,63.209999,62.419998,63.099998,53.264481,1651100
2016-07-07,63.200001,63.349998,62.520000,62.889999,53.087212,1421200
2016-07-08,63.270000,63.950001,63.240002,63.299999,53.433304,2134100
2016-07-11,63.939999,64.260002,63.840000,63.889999,53.931343,2115400
2016-07-12,64.239998,64.680000,64.180000,64.620003,54.547558,2138000
2016-07-13,64.800003,65.139999,64.419998,64.970001,54.843002,1508700
2016-07-14,65.449997,65.650002,65.199997,65.230003,55.062477,1132000
2016-07-15,65.410004,65.760002,65.300003,65.629997,55.400116,1638600
2016-07-18,65.750000,65.919998,65.419998,65.449997,55.248169,871100
2016-07-19,65.459999,65.620003,65.300003,65.599998,55.374802,963100
2016-07-20,65.830002,66.040001,65.650002,65.930000,55.653358,1264100
2016-07-21,65.919998,66.050003,65.669998,65.750000,55.501415,1980000
2016-07-22,66.000000,66.190002,65.699997,66.059998,55.763100,2047900
2016-07-25,66.120003,66.160004,65.599998,65.800003,55.543629,791300
2016-07-26,65.790001,66.470001,65.750000,66.260002,55.931927,1296300
2016-07-27,66.199997,66.699997,65.989998,66.309998,55.974117,1307800
2016-07-28,66.290001,66.500000,65.610001,66.400002,56.050106,1211900
2016-07-29,65.900002,66.510002,65.900002,66.309998,55.974117,1457100
2016-08-02,65.639999,65.779999,65.180000,65.669998,55.433891,1750300
2016-08-03,65.760002,66.190002,65.559998,65.620003,55.391682,1441400
2016-08-04,65.690002,65.889999,65.089996,65.510002,55.298828,987900
2016-08-05,65.750000,66.370003,65.669998,66.349998,56.007900,1289700
2016-08-08,66.269997,66.870003,66.250000,66.669998,56.278019,1305800
2016-08-09,66.820000,67.129997,66.720001,66.900002,56.472168,1213900
2016-08-10,67.000000,67.080002,66.639999,66.709999,56.311771,1077900
2016-08-11,66.949997,67.120003,66.849998,66.919998,56.489044,1305500
2016-08-12,66.790001,66.879997,66.500000,66.800003,56.387745,1041200
2016-08-15,66.930000,67.000000,66.599998,66.800003,56.387745,717000
2016-08-16,66.660004,66.730003,66.339996,66.500000,56.134514,900100
2016-08-17,66.470001,66.839996,66.419998,66.730003,56.328655,1230600
2016-08-18,66.669998,66.730003,66.260002,66.500000,56.134514,688900
2016-08-19,66.480003,66.589996,65.970001,66.419998,56.066982,894800
2016-08-22,66.199997,66.750000,66.000000,66.650002,56.261139,1283700
2016-08-23,66.919998,67.589996,66.910004,67.349998,56.852024,1914300
2016-08-24,68.000000,68.709999,67.750000,68.589996,57.898739,3277000
2016-08-25,68.459999,68.870003,68.330002,68.870003,58.135105,1987200
2016-08-26,68.800003,69.559998,68.760002,68.930000,58.185734,3780800
2016-08-29,68.930000,69.089996,68.739998,68.860001,58.126656,1520600
2016-08-30,69.580002,70.250000,69.550003,69.930000,59.029869,3034100
2016-08-31,69.980003,70.169998,69.320000,69.809998,58.928574,2129600
2016-09-01,69.559998,70.269997,69.550003,70.080002,59.156487,1897400
2016-09-02,70.190002,70.800003,70.080002,70.489998,59.502575,1576200
2016-09-06,70.580002,70.620003,70.019997,70.620003,59.612328,1791000
2016-09-07,70.669998,70.779999,70.290001,70.699997,59.679848,1433300
2016-09-08,70.500000,70.699997,70.129997,70.320000,59.359089,1271300
2016-09-09,70.099998,70.230003,69.529999,69.760002,58.886364,1677400
2016-09-12,69.500000,69.860001,69.120003,69.610001,58.759750,1475900
2016-09-13,69.010002,69.209999,68.269997,68.639999,57.940941,1825000
2016-09-14,68.550003,69.320000,68.410004,68.879997,58.143539,1275000
2016-09-15,69.029999,70.139999,69.029999,70.059998,59.139606,1490700
2016-09-16,70.059998,70.129997,69.559998,69.900002,59.004543,4076200
2016-09-19,70.089996,70.699997,69.809998,70.000000,59.088963,1571900
2016-09-20,70.440002,70.699997,70.160004,70.430000,59.451935,1459500
2016-09-21,70.750000,70.900002,70.330002,70.730003,59.705181,1196100
2016-09-22,70.940002,71.260002,70.900002,71.099998,60.017494,1209700
2016-09-23,70.849998,70.980003,70.360001,70.470001,59.485703,1458200
2016-09-26,70.239998,70.519997,69.959999,70.430000,59.451935,1080300
2016-09-27,70.410004,70.419998,69.830002,70.089996,59.164925,1556200
2016-09-28,70.300003,70.940002,70.290001,70.769997,59.738934,2095500
2016-09-29,70.970001,71.089996,70.309998,70.629997,59.620758,2268400
2016-09-30,69.900002,70.129997,69.510002,69.519997,59.305119,2028800
2016-10-03,69.559998,69.650002,69.050003,69.430000,59.228348,1311800
2016-10-04,69.419998,70.019997,69.059998,69.519997,59.305119,2281300
2016-10-05,69.570000,70.000000,69.570000,69.800003,59.543980,1526200
2016-10-06,69.769997,70.139999,69.599998,69.720001,59.475746,1278600
2016-10-07,69.620003,69.730003,69.160004,69.519997,59.305119,1211100
2016-10-11,69.550003,70.040001,69.550003,69.870003,59.603710,1158600
2016-10-12,69.860001,70.300003,69.760002,69.989998,59.706059,1049200
2016-10-13,69.699997,70.239998,69.150002,70.239998,59.919331,1537100
2016-10-14,70.489998,70.690002,70.000000,70.199997,59.885212,1443700
2016-10-17,70.190002,70.309998,69.980003,70.120003,59.816971,742300
2016-10-18,70.400002,70.940002,70.309998,70.779999,60.379986,1567600
2016-10-19,70.849998,71.139999,70.639999,70.870003,60.456768,1069000
2016-10-20,70.889999,71.169998,70.760002,70.980003,60.550613,1507800
2016-10-21,70.900002,71.400002,70.860001,71.250000,60.780926,1088400
2016-10-24,71.370003,71.910004,71.260002,71.790001,61.241592,1370200
2016-10-25,71.730003,71.959999,71.540001,71.809998,61.258636,1068000
2016-10-26,71.580002,72.129997,71.480003,71.760002,61.215996,1682300
2016-10-27,71.919998,72.500000,71.769997,72.230003,61.616940,1596300
2016-10-28,72.199997,72.400002,71.849998,72.089996,61.497501,1430200
2016-10-31,72.050003,72.400002,71.870003,72.080002,61.488987,1545100
2016-11-01,72.239998,72.559998,71.510002,72.029999,61.446316,1769200
2016-11-02,71.650002,71.949997,71.010002,71.309998,60.832104,1473900
2016-11-03,71.349998,71.879997,71.190002,71.620003,61.096558,1048300
2016-11-04,71.620003,71.620003,70.739998,70.980003,60.550613,1333100
2016-11-07,71.669998,72.139999,71.550003,71.769997,61.224518,1350100
2016-11-08,71.730003,72.330002,71.550003,72.209999,61.599873,1210000
2016-11-09,71.500000,72.050003,71.099998,71.629997,61.105087,3262200
2016-11-10,71.919998,72.089996,70.970001,71.720001,61.181877,2451600
2016-11-11,71.449997,71.720001,70.570000,71.029999,60.593243,1970300
2016-11-14,71.220001,71.230003,69.519997,69.879997,59.612225,3198000
2016-11-15,70.000000,70.449997,69.199997,70.410004,60.064358,2591800
2016-11-16,70.150002,70.730003,69.889999,70.610001,60.234974,1868200
2016-11-17,70.529999,71.820000,70.449997,71.629997,61.105087,2665200
2016-11-18,71.559998,72.110001,71.459999,72.000000,61.420734,1258800
2016-11-21,72.160004,72.790001,72.120003,72.620003,61.949638,2011400
2016-11-22,72.879997,73.010002,72.419998,72.660004,61.983761,1326500
2016-11-23,72.550003,72.970001,72.269997,72.629997,61.958149,1206100
2016-11-24,72.550003,72.919998,72.470001,72.620003,61.949638,585100
2016-11-25,72.889999,73.019997,72.370003,72.900002,62.188496,1183200
2016-11-28,73.000000,73.129997,72.239998,72.519997,61.864323,1755400
2016-11-29,73.250000,74.309998,73.250000,73.699997,62.870930,2969800
2016-11-30,74.260002,74.459999,73.529999,74.139999,63.246300,3236200
2016-12-01,74.209999,74.629997,73.959999,74.089996,63.203640,2198500
2016-12-02,73.870003,74.550003,73.709999,74.370003,63.442509,1466800
2016-12-05,74.500000,74.660004,74.169998,74.290001,63.374245,1368500
